Number,Name,Total docks
6416.07,Penn Station Valet,7
4990.01,Railroad Ave & Kay Ave,12
4137.1,Coffey St & Conover St,15
4362.04,Pacific St & Nevins St,15
5406.04,Pitt St & Stanton St,15
4812.03,Sands St & Navy St,15
4143.03,Union St & Nevins St,15
4124.04,Verona Pl & Fulton St,15
4125.07,7 Ave & Park Pl,17
3771.06,14 St & 5 Ave,18
4377.04,Cambridge Pl & Gates Ave,18
5403.04,Graham Ave & Withers St,18
4553.04,Kosciuszko St & Tompkins Ave,18
3996.04,2 Ave & 9 St,19
5004.02,Boerum St & Broadway,19
4692.01,Clermont Ave & Park Ave,19
4243.01,Commerce St & Van Brunt St,19
4781.03,Concord St & Bridge St,19
4258.07,Degraw St & Hoyt St,19
4528.05,DeKalb Ave & Skillman St,19
5259.05,Devoe St & Leonard St,19
5542.04,Driggs Ave & N Henry St,19
4228.02,Fulton St & Utica Ave,19
4510.04,Greene Ave & Throop Ave,19
3972.08,Henry St & Bay St,19
4086.06,Henry St & W 9 St,19
5512.03,Leonard St & Manhattan Ave,19
4237.01,Lewis Ave & Decatur St,19
4452.03,Lexington Ave & Classon Ave,19
4278.03,Marcus Garvey Blvd & Macon St,19
4336.01,Monroe St & Classon Ave,19
4434.06,Monroe St & Tompkins Ave,19
4812.02,Nassau St & Navy St,19
4700.06,Park Ave & St Edwards St,19
4169.04,Pioneer St & Van Brunt St,19
4656.03,Pulaski St & Marcus Garvey Blvd,19
4327.09,Putnam Ave & Nostrand Ave,19
4202.04,Richards St & Delavan St,19
5433.03,Richardson St & N Henry St,19
5326.06,Stanton St & Mangin St,19
4850.04,Tompkins Ave & Hopkins St,19
5300.06,Union Ave & Jackson St,19
4419.03,Washington Ave & Greene Ave,19
5578.02,Watts St & Greenwich St,19
7650.05,West End Ave & W 107 St,19
4665.02,Willoughby Ave & Tompkins Ave,19
4634.02,Willoughby Ave & Walworth St,19
6179.05,Center Blvd & Borden Ave,20
5262.09,Madison St & Montgomery St,20
4707.04,Nostrand Ave & Myrtle Ave,20
5922.07,Perry St & Bleecker St,20
4110.1,3 St & Hoyt St,21
3834.1,6 St & 7 Ave,21
3996.01,7 St & 3 Ave,21
7149.05,Amsterdam Ave & W 66 St,21
4045.01,Clinton St & Centre St,21
4422.04,Columbia St & Degraw St,21
4422.05,Columbia St & Kane St,21
4103.08,Columbia St & Lorraine St,21
4086.05,Columbia St & W 9 St,21
4217.02,Douglass St & 3 Ave,21
4319.07,Halsey St & Tompkins Ave,21
5332.09,Leonard St & Meeker Ave,21
4392.04,Putnam Ave & Throop Ave,21
5156.05,S 4 St & Rodney St,21
4697.01,Throop Ave & Myrtle Ave,21
4095.03,Van Brunt St & Wolcott St,21
4054.02,Wolcott St & Dwight St,21
5696.03,Pier 40 - Hudson River Park,22
4290.06,Wyckoff St & 3 Ave,22
3762.08,10 St & 7 Ave,23
6395.01,21 St & 43 Ave,23
6319.01,45 Rd & 11 St,23
3874.01,5 St & 6 Ave,23
4620.02,Adelphi St & Myrtle Ave,23
5436.09,Avenue D & E 3 St,23
5216.04,Barclay St & Church St,23
5093.01,Bedford Ave & S 9 St,23
4134.06,Berkeley Pl & 6 Ave,23
5335.03,Bialystoker Pl & Delancey St,23
4677.01,Cadman Plaza E & Tillary St,23
4732.08,Carlton Ave & Flushing Ave,23
4732.04,Carlton Ave & Park Ave,23
4019.06,Carroll St & 6 Ave,23
4461.01,Clermont Ave & Lafayette Ave,23
4762.04,Clinton Ave & Flushing Ave,23
4829.01,Columbia Heights & Cranberry St,23
7595.17,Columbus Ave & W 103 St,23
4488.08,Court St & State St,23
4546.04,DeKalb Ave & S Portland Ave,23
4461.04,DeKalb Ave & Vanderbilt Ave,23
5506.14,E 6 St & Avenue D,23
4683.02,Emerson Pl & Myrtle Ave,23
4927.04,Front St & Gold St,23
5178.06,Graham Ave & Grand St,23
5403.05,Graham Ave & Herbert St,23
5636.11,Great Jones St,23
4519.02,Greene Ave & Nostrand Ave,23
4531.05,Henry St & Atlantic Ave,23
4380.08,Henry St & Degraw St,23
4330.09,Hoyt St & Warren St,23
5794.01,India St & East River,23
4519.04,Kosciuszko St & Nostrand Ave,23
5539.06,Laight St & Hudson St,23
4425.02,Lewis Ave & Madison St,23
4476.03,Marcy Ave & Lafayette Ave,23
5198.04,Market St & Cherry St,23
4996.08,McKibbin St & Manhattan Ave,23
4368.05,Monroe St & Bedford Ave,23
4677.06,Montague St & Clinton St,23
4729.01,Myrtle Ave & Lewis Ave,23
4707.03,Myrtle Ave & Marcy Ave,23
4659.02,Myrtle Ave & St Edwards St,23
